instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,cnt,peak
1,1/1/2011,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,16,0
2,1/1/2011,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,40,0
3,1/1/2011,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,32,0
4,1/1/2011,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,13,0
5,1/1/2011,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,1,0
6,1/1/2011,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,1,0
7,1/1/2011,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,2,0
8,1/1/2011,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,3,0
9,1/1/2011,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,8,0
10,1/1/2011,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,14,0
11,1/1/2011,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,36,1
12,1/1/2011,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,56,1
13,1/1/2011,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,84,1
14,1/1/2011,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,94,1
15,1/1/2011,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,106,1
16,1/1/2011,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,110,1
17,1/1/2011,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,93,1
18,1/1/2011,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,67,1
19,1/1/2011,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,35,1
20,1/1/2011,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,37,1
21,1/1/2011,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,36,0
22,1/1/2011,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,34,0
23,1/1/2011,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,28,0
24,1/1/2011,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,39,0
25,1/2/2011,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,17,0
26,1/2/2011,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,17,0
27,1/2/2011,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,9,0
28,1/2/2011,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,6,0
29,1/2/2011,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,3,0
30,1/2/2011,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,2,0
31,1/2/2011,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,1,0
32,1/2/2011,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,8,0
33,1/2/2011,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,20,0
34,1/2/2011,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,53,1
35,1/2/2011,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,70,1
36,1/2/2011,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,93,1
37,1/2/2011,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,75,1
38,1/2/2011,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,59,1
39,1/2/2011,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,74,1
40,1/2/2011,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,76,1
41,1/2/2011,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,65,1
42,1/2/2011,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,53,1
43,1/2/2011,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,30,1
44,1/2/2011,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,22,0
45,1/2/2011,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,31,0
46,1/2/2011,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,9,0
47,1/2/2011,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,8,0
48,1/3/2011,1,0,1,0,0,1,1,1,0.22,0.197,0.44,5,0
49,1/3/2011,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,2,0
50,1/3/2011,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,1,0
51,1/3/2011,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,3,0
52,1/3/2011,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,30,0
53,1/3/2011,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,64,0
