instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,cnt,peak
17356,12/31/2012,1,1,12,0,0,1,1,1,0.18,0.1818,0.55,34,0
17357,12/31/2012,1,1,12,1,0,1,1,1,0.18,0.1818,0.55,19,0
17358,12/31/2012,1,1,12,2,0,1,1,1,0.16,0.1667,0.59,11,0
17359,12/31/2012,1,1,12,3,0,1,1,1,0.16,0.1818,0.59,1,0
17360,12/31/2012,1,1,12,4,0,1,1,1,0.14,0.1667,0.69,3,0
17361,12/31/2012,1,1,12,5,0,1,1,1,0.16,0.1515,0.64,9,0
17362,12/31/2012,1,1,12,6,0,1,1,1,0.16,0.1667,0.64,40,0
17363,12/31/2012,1,1,12,7,0,1,1,1,0.16,0.1818,0.64,85,0
17364,12/31/2012,1,1,12,8,0,1,1,1,0.14,0.1515,0.69,196,1
17365,12/31/2012,1,1,12,9,0,1,1,2,0.18,0.2121,0.64,157,0
17366,12/31/2012,1,1,12,10,0,1,1,2,0.2,0.2121,0.69,120,0
17367,12/31/2012,1,1,12,11,0,1,1,2,0.22,0.2273,0.6,157,0
17368,12/31/2012,1,1,12,12,0,1,1,2,0.24,0.2273,0.56,224,1
17369,12/31/2012,1,1,12,13,0,1,1,2,0.26,0.2576,0.44,203,1
17370,12/31/2012,1,1,12,14,0,1,1,2,0.28,0.2727,0.45,247,0
17371,12/31/2012,1,1,12,15,0,1,1,2,0.28,0.2879,0.45,315,0
17372,12/31/2012,1,1,12,16,0,1,1,2,0.26,0.2576,0.48,214,0
17373,12/31/2012,1,1,12,17,0,1,1,2,0.26,0.2879,0.48,164,1
17374,12/31/2012,1,1,12,18,0,1,1,2,0.26,0.2727,0.48,122,1
17375,12/31/2012,1,1,12,19,0,1,1,2,0.26,0.2576,0.6,119,0
17376,12/31/2012,1,1,12,20,0,1,1,2,0.26,0.2576,0.6,89,0
17377,12/31/2012,1,1,12,21,0,1,1,1,0.26,0.2576,0.6,90,0
17378,12/31/2012,1,1,12,22,0,1,1,1,0.26,0.2727,0.56,61,0
17379,12/31/2012,1,1,12,23,0,1,1,1,0.26,0.2727,0.65,49,0
