instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,cnt,peak
17094,12/20/2012,4,1,12,0,0,4,1,1,0.32,0.3333,0.61,42,0
17095,12/20/2012,4,1,12,1,0,4,1,1,0.32,0.3485,0.66,20,0
17096,12/20/2012,4,1,12,2,0,4,1,1,0.32,0.3485,0.66,8,0
17097,12/20/2012,4,1,12,3,0,4,1,2,0.3,0.3182,0.7,4,0
17098,12/20/2012,4,1,12,4,0,4,1,2,0.3,0.3182,0.7,6,0
17099,12/20/2012,4,1,12,5,0,4,1,2,0.3,0.3182,0.7,35,0
17100,12/20/2012,4,1,12,6,0,4,1,2,0.3,0.3333,0.65,118,0
17101,12/20/2012,4,1,12,7,0,4,1,2,0.3,0.3333,0.7,350,0
17102,12/20/2012,4,1,12,8,0,4,1,2,0.3,0.3333,0.7,599,1
17103,12/20/2012,4,1,12,9,0,4,1,2,0.3,0.3333,0.7,317,0
17104,12/20/2012,4,1,12,10,0,4,1,2,0.32,0.3333,0.66,161,0
17105,12/20/2012,4,1,12,11,0,4,1,2,0.34,0.3182,0.57,190,0
17106,12/20/2012,4,1,12,12,0,4,1,2,0.36,0.3485,0.53,212,1
17107,12/20/2012,4,1,12,13,0,4,1,2,0.36,0.3485,0.57,217,1
17108,12/20/2012,4,1,12,14,0,4,1,2,0.36,0.3485,0.53,214,0
17109,12/20/2012,4,1,12,15,0,4,1,2,0.34,0.3333,0.57,249,0
17110,12/20/2012,4,1,12,16,0,4,1,2,0.34,0.303,0.53,302,0
17111,12/20/2012,4,1,12,17,0,4,1,2,0.34,0.3333,0.66,475,1
17112,12/20/2012,4,1,12,18,0,4,1,2,0.34,0.3333,0.71,381,1
17113,12/20/2012,4,1,12,19,0,4,1,3,0.34,0.3182,0.71,118,0
17114,12/20/2012,4,1,12,20,0,4,1,3,0.34,0.3333,0.76,50,0
17115,12/20/2012,4,1,12,21,0,4,1,3,0.34,0.3333,0.76,26,0
17116,12/20/2012,4,1,12,22,0,4,1,3,0.34,0.3333,0.87,21,0
17117,12/20/2012,4,1,12,23,0,4,1,3,0.4,0.4091,0.82,13,0
